asset,family,value_kind,index,value
O1200,v_b,head_singular,44,0.06963727251585404
O1200,v_b,head_singular,45,0.06881541069414256
O1200,v_b,head_singular,46,0.06751357991154891
O1200,v_b,head_singular,47,0.06695728201518125
O1200,v_b,head_singular,48,0.06481120034830537
O1200,v_b,head_singular,49,0.0636166031407003
O1200,v_b,head_singular,50,0.062001564961649026
O1200,v_b,head_singular,51,0.0603939391279203
O1200,v_b,head_singular,52,0.05973729017301988
O1200,v_b,head_singular,53,0.05831412142942998
O1200,v_b,head_singular,54,0.05772645819976564
O1200,v_b,head_singular,55,0.05699783915152987
O1200,v_b,head_singular,56,0.0560935636489996
O1200,v_b,head_singular,57,0.05517478644101183
O1200,v_b,head_singular,58,0.0542391063263479
O1200,v_b,head_singular,59,0.053311975449345184
O1200,v_b,head_singular,60,0.052778154749998314
O1200,v_b,head_singular,61,0.05198254882584034
O1200,v_b,head_singular,62,0.05103098081227306
O1200,v_b,head_singular,63,0.05084619251241862
O1200,v_b,head_singular,64,0.049068630392230764
O1200,v_b,head_singular,65,0.048640133017057434
O1200,v_b,head_singular,66,0.04820322368803309
O1200,v_b,head_singular,67,0.04743563178348709
O1200,v_b,head_singular,68,0.046933089051016674
O1200,v_b,head_singular,69,0.046218215061715674
O1200,v_b,head_singular,70,0.045637388514494864
O1200,v_b,head_singular,71,0.04446771516852062
O1200,v_b,head_singular,72,0.04372744366511264
O1200,v_b,head_singular,73,0.04339062434525907
O1200,v_b,head_singular,74,0.042807179350150854
O1200,v_b,head_singular,75,0.041836258663688085
O1200,v_b,head_singular,76,0.0410054702428319
O1200,v_b,head_singular,77,0.04068594159512085
O1200,v_b,head_singular,78,0.040043601132812266
O1200,v_b,head_singular,79,0.03941245461890664
O1200,v_b,head_singular,80,0.039122439297005145
O1200,v_b,head_singular,81,0.03840433195179051
O1200,v_b,head_singular,82,0.03787849751819396
O1200,v_b,head_singular,83,0.03743665459980968
O1200,v_b,head_singular,84,0.03672362411644239
O1200,v_b,head_singular,85,0.036054665117351344
O1200,v_b,head_singular,86,0.035664250494637104
O1200,v_b,head_singular,87,0.03458792809411204
O1200,v_b,head_singular,88,0.03444072912207399
O1200,v_b,head_singular,89,0.03370563327848066
O1200,v_b,head_singular,90,0.033613427174545914
O1200,v_b,head_singular,91,0.03281879206859081
O1200,v_b,head_singular,92,0.03237171064063512
O1200,v_b,head_singular,93,0.03215541536788469
O1200,v_b,head_singular,94,0.03160694072298694
O1200,v_b,head_singular,95,0.031200872333269576
O1200,v_b,head_singular,96,0.030893174978535057
O1200,v_b,head_singular,97,0.03063290209558976
O1200,v_b,head_singular,98,0.029997517072822468
O1200,v_b,head_singular,99,0.02979488354036645
O1200,v_b,head_singular,100,0.02922339705274863
O1200,v_b,head_singular,101,0.029011626608667195
O1200,v_b,head_singular,102,0.028493904130945526
O1200,v_b,head_singular,103,0.028265958486368318
O1200,v_b,head_singular,104,0.028080730151681707
O1200,v_b,head_singular,105,0.0272555370864769
O1200,v_b,head_singular,106,0.027122980009853893
O1200,v_b,head_singular,107,0.026798728713616934
