asset,global_task_id,teacher_demo,family,layer,b_frobenius_norm,b_singular_values,delta_frobenius_norm,delta_singular_values,reconstruction_max_abs,reconstruction_relative_l2
O1200,5,46,v_b,2,3.1619524824584904,"[3.0652798404550943,0.6968138556522384,0.3003193152754675,0.12649599122015504,0.07273941055584521,0.05609684615444634,0.028780462937414986,0.021991898208098395,0.013052076019205884,0.011426329378335287,0.008591081182597602,0.007721177048879895,0.005685759529286244,0.004472386950441677,0.003728229355123811,0.0031807704456094615]",19.541378447116404,"[19.51906523262909,0.9061955137343297,0.20218427425033003,0.07628296471912305,0.043563028433061826,0.034521186027642946,0.016388056799174013,0.012310355636419476,0.0073956089345944285,0.006447679348770686,0.004945652074371178,0.004555275067322066,0.0032093082657244573,0.0025741795603160885,0.002221165732417038,0.0018102451384777278]",0.0004818927263841033,0.0016623683391486569
O1200,5,46,v_b,3,3.3216748998375554,"[3.3116762062245955,0.24061105997353077,0.08120553431414108,0.028766398658886732,0.02048734863772171,0.01479156546339102,0.0107690342894723,0.00985600765364941,0.0078035956333748074,0.006202836184633112,0.003987159034261451,0.003799228899945223,0.003480684170284044,0.0028197120323409353,0.002100186333328855,0.0018719590803167633]",22.320936115411424,"[22.320276804283694,0.16316297338797883,0.04677106677067167,0.016962935106774713,0.011730956853852082,0.0085955732666054,0.00622462637569456,0.005656092490570378,0.004502831155447688,0.0036709935130747624,0.0023496620455579365,0.0020931490377485576,0.0019642068395804243,0.001624495545816818,0.001227719549062546,0.0010601198585909858]",0.0004775429842993617,0.001653287725503085
O1200,5,46,v_b,4,3.074648765247996,"[2.9370650412033084,0.8685267338439507,0.19243923118033504,0.14785438480235158,0.0946829245643335,0.05392192643604819,0.026032326055564332,0.021986544686161298,0.020410767112696716,0.015108247943393433,0.008657798884967881,0.007192068629118136,0.005468592757437569,0.00497733327270123,0.003960079285830739,0.0024668183064751803]",18.68516482023897,"[18.618226219696556,1.5716820190298162,0.11450010934983887,0.09264634362712698,0.05909888149083972,0.03155055277273864,0.015660892014604178,0.012071090261467115,0.011914643025121043,0.008454159009683227,0.004940826602253561,0.0040368323485739195,0.0032463465032514438,0.0027919844328661548,0.0022780211099744413,0.0014318408165563013]",0.000485904049128294,0.0016905681363526565
O1200,5,46,v_b,5,3.3481575477843832,"[3.3388694539127775,0.2263400026984725,0.07840389864339704,0.0513448735138293,0.033583099739218414,0.018856615156947677,0.015244977936330605,0.011596657861845851,0.009176108474840171,0.008358259317486216,0.005914788476251711,0.004976118749611511,0.003366399222026081,0.0031948845340071075,0.002481950652283056,0.002161950136244482]",22.656786039205308,"[22.65614217385067,0.16004072950529788,0.04523993404642938,0.028511048713117812,0.019408653924839328,0.011033699907165804,0.008823604897545747,0.006779554474280286,0.005257395993052829,0.00471564597435995,0.003400267401525788,0.002953039510514956,0.0019103329185673832,0.0018011457925800585,0.0014429660515333878,0.001210693731098689]",0.0004853468853980303,0.0016538122198968808
O1200,5,46,v_b,6,3.438813064870175,"[3.4284432102831417,0.23166420534303786,0.09128969566891024,0.07441463159068394,0.04398422364075372,0.028031779285073662,0.020584893590061683,0.013504151411264948,0.011482726154300453,0.010244775187591202,0.00673463096154615,0.0051913753838544905,0.003941482755149129,0.003362830290524298,0.002557995097744423,0.0019506884318854746]",23.477392965786503,"[23.47673548308148,0.15760408746219187,0.05348530289663745,0.043576381436023756,0.026002991834780283,0.016520327238656814,0.011899354637366443,0.008221316265510826,0.006680938172360683,0.005742447857241997,0.003992734015192769,0.002981038819814381,0.002269336354327541,0.0019321230127568704,0.001444700250131181,0.001108860346998394]",0.0004853190330322832,0.0016392833098184839
O1200,5,46,v_b,7,3.324204877887992,"[3.2986583846225943,0.37634548732320394,0.14908092873179313,0.060639419877498435,0.026022399332342634,0.019186647627518108,0.015797298751844935,0.012211671506763675,0.009259764309757446,0.007010407988506987,0.004934140305551983,0.0042020607845405025,0.003408652298739402,0.003140904496306999,0.002331172519391293,0.002227195477516351]",22.161257093599847,"[22.15924016487268,0.2814325466516931,0.09159653711386832,0.03537867074884967,0.015136271419447641,0.010980535171958251,0.009019922221596742,0.006916388971512015,0.0052035674625331265,0.0039007291333322514,0.0028047137517206106,0.0024420911567831238,0.001975031129675526,0.0018051629356019554,0.0013279485542736175,0.0012287046335964817]",0.00048660215179552324,0.0016815393282024976
O1200,5,46,v_b,8,3.497397065475483,"[3.4880154234704177,0.218769181576534,0.11651189826540645,0.04450097341628003,0.028881601722633436,0.023828488572928453,0.01893190098882478,0.012382153956023314,0.008559204368003255,0.006384135324263572,0.00566098872592826,0.005031869319425563,0.0036124388233072274,0.0030122082549914166,0.002695084195655815,0.002208323900212349]",23.89361863458892,"[23.893084645108182,0.13844967854032958,0.07030654131997705,0.025911631057912235,0.017432183316426028,0.013760175712214249,0.011034206056864504,0.007144913711637819,0.00501735211970585,0.0036196284146402975,0.0032313621284613702,0.002937703374921779,0.0020878040445390066,0.0017081981308065919,0.00156140021657015,0.0013311228942764904]",0.0004630073672160506,0.0015899309653570949
O1200,5,46,v_b,9,3.543529660317507,"[3.5144631215825664,0.4426759657297517,0.06952545165013335,0.049435218043397386,0.03181960746123722,0.018598113883244782,0.013991242290026785,0.011387890087989115,0.008449178514807336,0.0072190251348580895,0.006857190561212501,0.004574576057990872,0.003935080876991515,0.003155924371092022,0.0024934635105489126,0.002202668888549867]",24.037053755761658,"[24.03378428058461,0.3924789764880773,0.04041996806266676,0.02900699303257272,0.018772175014065147,0.010752388841791805,0.00805773069865277,0.006584898277898102,0.004791868909017467,0.004150322330533655,0.004043317474744348,0.002581353268322425,0.0022554041577350025,0.0018253644158490402,0.0014382476702752768,0.0012257969745152384]",0.0004858181746385526,0.0016707542670414222
O1200,5,46,v_b,10,3.4205167743837963,"[3.418359837080209,0.10513456781210577,0.04254832927368002,0.027637354907771312,0.02161117973627662,0.01690535327467783,0.011883883078051981,0.00960836704456606,0.0065271514119709054,0.005750008800336659,0.0046581560771173655,0.0038959154757287453,0.003239078057989883,0.002470024744613334,0.0021499410793503243,0.0018514285378763559]",23.732127494726495,"[23.732013112728062,0.06438264800181906,0.02530536908348259,0.01610694827265042,0.012928886657068886,0.009804804059957274,0.006827639148698644,0.005423770162133827,0.0037025048697164747,0.003320125090669835,0.0027369520781835265,0.002173473213530806,0.0018040624990688934,0.0014141642266320487,0.0012355795747009226,0.0010345768645335868]",0.0004879303778579924,0.0016442919180147848
O1200,5,46,v_b,11,3.089048339651128,"[2.8570831565216106,1.0297287293880268,0.4115154394439613,0.32888699049493436,0.16192300915513078,0.10372324935911827,0.04758746137033082,0.033525457872580745,0.021190857781809944,0.017874919363840575,0.010949163521843962,0.009691378552928433,0.006364649130098859,0.004897901219198776,0.004200719119401537,0.0034645762580644505]",17.7216996623492,"[17.55562431526302,2.3831779873582883,0.317548459350887,0.2501965508483177,0.10178395205124056,0.06245246257221448,0.026726620105506794,0.01972295289636589,0.01235354041604354,0.010142178690485127,0.006228710484643381,0.005609659487091405,0.003722931304484356,0.0028317367452458464,0.0024651733014623292,0.001970118987266685]",0.0004835891886614263,0.0016473578797615216
