asset,global_task_id,teacher_demo,family,layer,b_frobenius_norm,b_singular_values,delta_frobenius_norm,delta_singular_values,reconstruction_max_abs,reconstruction_relative_l2
N1000,5,46,q_b,10,9.884206927552627,"[9.880810127514259,0.2263324574580835,0.09676828120934934,0.0607828989051233,0.03693767055207138,0.022784376700784353,0.01788631930288104,0.014089461559690965,0.0113328071480967,0.008705884018626408,0.008105493330870798,0.007575174042860526,0.0062659674818833664,0.00575762203180561,0.005168503323141196,0.004937860562881181]",42.29214888768163,"[42.2918788996942,0.1329905362957225,0.05477153767860989,0.034843393156091286,0.020919215752748584,0.013615737794112646,0.010008432892545854,0.007983019119975602,0.006382404061427794,0.0052153646556526235,0.004680344773994004,0.004379091493675486,0.0035808303286169875,0.0032186543320380265,0.0030245263024308035,0.00282117922314735]",0.00048749655252322555,0.0016698695657209747
N1000,5,46,q_b,11,9.02280539450156,"[8.996245098617269,0.6729482572274158,0.11419655965161708,0.09136569720393223,0.04277363038284794,0.028562974828647128,0.025783973517704364,0.01718858123917283,0.015373860323963743,0.01339171340174679,0.00997867620162094,0.009353296771837692,0.007541022531719389,0.00589547911275477,0.005120070274087098,0.004139173671497613]",39.82610533566381,"[39.82392248675024,0.406547568773824,0.06539531517355554,0.05348004466370011,0.024422376779553452,0.016662182334157935,0.01517368484507119,0.009945889640959722,0.008582202736230574,0.0076984498301771905,0.005786322758617583,0.005553815469655966,0.004461804164225945,0.0034295999120224573,0.002892844341708173,0.002420996951724545]",0.0004879625366811524,0.001647249171040955
N1000,5,46,q_b,12,10.000562186180995,"[9.999044069888829,0.14774001512336216,0.06488788252995008,0.04394500051555427,0.031802610085825085,0.026587302811810043,0.013346983895831168,0.012295688828464341,0.00931846276456271,0.008415737350818941,0.006671214425633992,0.006138475026204994,0.005787813515870339,0.005467835467581745,0.00465816975774199,0.004523286155030986]",42.31146349727784,"[42.31134540281721,0.0849021365717187,0.03665757316233746,0.02530478449965038,0.01831929438032859,0.015665315431222567,0.00778237943276459,0.006831644908073567,0.005252716413928824,0.004779061084226102,0.003925416816789457,0.003455532424956924,0.0032939959928071478,0.0030969678757227412,0.002758192995246496,0.002633938288983576]",0.0004878217587247491,0.001664912182457956
N1000,5,46,q_b,13,10.219370455263746,"[10.218741927458225,0.0919967620867642,0.04406212480584522,0.033951249633694586,0.022471471159400295,0.015411179990908377,0.011113761044936341,0.009652190624945765,0.009069616769072293,0.007847855235331378,0.00692465634639439,0.006160933275654327,0.005660089892013373,0.004973185083704884,0.004672085665704159,0.004566752320208836]",42.941755452084706,"[42.941704243782475,0.054541405812364295,0.024696281297761656,0.019530386209203315,0.01335885764794026,0.008517538730218557,0.0063062736455459685,0.005564831351212163,0.005358901047232303,0.004549134997248544,0.003958464662936001,0.0035647126191281,0.0031635451206617786,0.0028350481272706256,0.0027662202290341907,0.0025706771473694716]",0.00048791602603159845,0.0016514438015386168
N1000,5,46,q_b,14,10.145778599786555,"[10.145246478687826,0.08575240110741074,0.04122873064661598,0.02346191338290534,0.018957958132612262,0.01685291332133079,0.01227501197261112,0.01039384132527035,0.009203157709908904,0.006942241338110611,0.0057650695767576575,0.005606904773953784,0.005141067095713158,0.005004521545580693,0.004693414316938751,0.0045095180380235605]",42.35843266185129,"[42.35839078474928,0.04885402326157615,0.024213459061617964,0.013470797734562103,0.010716993004544699,0.009858034621952675,0.007065250453391047,0.005930660974392171,0.005340113034282776,0.00402374835463479,0.0033495229266470436,0.0032365717150034537,0.002919585394850851,0.002778937630569406,0.0026439357516266893,0.0025419008298450305]",0.0004883168439846486,0.0016466569825005334
N1000,5,46,q_b,15,9.352555237556931,"[9.343476449131959,0.3883380981299772,0.0943872835164058,0.07930981988303548,0.043043690335909705,0.02761390236788669,0.017140022609658006,0.01613817632434772,0.013657212390041466,0.009424699410872437,0.008789244121086705,0.008280792823044681,0.007505530030381058,0.006170291105685414,0.004969378713530927,0.004696365623809501]",40.556239546871254,"[40.55552770434402,0.22696937127053768,0.05447888735937368,0.04470817526311331,0.024995245832509443,0.016214319402893147,0.009932476081627757,0.009425132586797646,0.0076372337557415095,0.005339690381997876,0.0050343721402516745,0.004868649826229981,0.0043627919764413995,0.0034429852994260018,0.0028224297333052976,0.0026539818558808754]",0.00048765449901111424,0.0016592861887383707
N1000,5,46,q_b,16,9.77510113234837,"[9.772634140996077,0.1989361928484966,0.07073902490824556,0.033059875593703485,0.028636633360516927,0.024979753759164287,0.017987502826275942,0.01636678039902385,0.011889225137044485,0.010492475060852302,0.008965187244896812,0.007547948865760292,0.007086096206235921,0.005415301160210405,0.005055722376122448,0.004707760488812705]",41.350654248077134,"[41.35045499920989,0.1164943410643822,0.040653865395547197,0.019572336231253665,0.01715092233742807,0.014471934895487006,0.010460567389023408,0.009290833286307799,0.006970391979031753,0.006184458648057134,0.004973203260747901,0.004273371930096665,0.0041321059561729104,0.0030935736978613066,0.0028452930317049113,0.002730400804235193]",0.00048772600712254643,0.0016676588152518693
N1000,5,46,q_b,17,9.688178016676053,"[9.684919558456924,0.23672866528930933,0.06193583532979781,0.03307018293921187,0.0266556927539133,0.02234551182199189,0.017404144819340894,0.012282303665414924,0.012000552513008375,0.0110240762756969,0.008158304290088458,0.006841954484325374,0.00663578554466206,0.0054019001954979644,0.00477707347781321,0.004210447301150069]",40.86330909419953,"[40.863037697444256,0.14047733282407016,0.036535276734204966,0.01925586304986971,0.01585452328245234,0.0134244776198217,0.009923545530377555,0.007067505445449949,0.006990419587590747,0.006372034373908672,0.004484076856446789,0.003853496115274288,0.0037190383150725983,0.0030694568641381277,0.002723302971232527,0.0023804080252559255]",0.00048737517499830574,0.001666738584791742
N1000,5,46,v_b,0,4.16615012042124,"[4.160960946388393,0.19914518190535055,0.05075746013710827,0.020395523826810164,0.014990340650298683,0.011495302017412138,0.008752808778267469,0.007121754257440304,0.005667611652961276,0.0034375978901405083,0.002965075025972573,0.002348879675914041,0.002319198806473269,0.0022393974404213797,0.0019474774404925376,0.0017636618320435963]",32.529503129869866,"[32.52923785969519,0.12681016308475498,0.029262268202816567,0.011609525295926307,0.008449520660834202,0.006764685647576471,0.005117494549426275,0.004197426349800633,0.003311710733962401,0.001935686365963867,0.0016617865599050379,0.0014414712362262696,0.0013241741953813973,0.0012875328627850837,0.0011173200930410113,0.0010435184133975608]",0.0004841747577302158,0.0016888941802462544
N1000,5,46,v_b,1,3.902546745451686,"[3.900487929993576,0.11641610736716275,0.043001571137039556,0.01882217666994654,0.011458137624561241,0.008193297079799239,0.00562955978256621,0.004889333748529516,0.0034983645611486513,0.0032187676526302406,0.003019688464151555,0.0025288781410476684,0.002325815590759306,0.00212478148713229,0.0019399073840838375,0.0017527748914077186]",30.160524794107054,"[30.160428244396016,0.0706297233901165,0.024596410124618273,0.011275671901770338,0.0066690092600017155,0.004736611809416156,0.0032085840690559233,0.0028029989741111742,0.0020325450926900073,0.0019139134731269933,0.0017192500391598963,0.0014657801081269933,0.0013355630231049506,0.001224344210086141,0.0010676549975191173,0.0009509625546886845]",0.00048727693501859903,0.0017032754717315327
