study,task_group,start,end,exposures,flow_loss_mean,flow_loss_median,flow_loss_p95,teaching_loss_mean,teaching_loss_median,teaching_loss_p95,fm_lora_gradient_norm_mean,fm_lora_gradient_norm_median,fm_lora_gradient_norm_p95,teaching_lora_gradient_norm_mean,teaching_lora_gradient_norm_median,teaching_lora_gradient_norm_p95
new,common20,1,200,444,0.13067650655384408,0.12453708070374671,0.20415147997084118,0.08607066464862106,0.07363741099834442,0.1870858520269394,0.015201458880501622,0.011661308817565441,0.03374827653169632,0.010108747629150917,0.007953678723424673,0.02495254948735237
new,common20,201,400,446,0.12368427809847296,0.11815876318585306,0.18689543789341337,0.0714247441879837,0.06369930878281593,0.14226004481315613,0.013030886478855738,0.010814185719937086,0.024498293176293373,0.008464302638474634,0.006855628918856382,0.018396008759737015
new,common20,401,600,442,0.11715085168128908,0.10993995233660653,0.17709643287318091,0.0688938097206547,0.06070042587816715,0.14506545662879944,0.01160291765660587,0.009952414780855179,0.02148285321891308,0.008220249203316092,0.006899979198351502,0.01632588729262352
new,common20,601,800,444,0.11284649703037976,0.10790133848786354,0.1653972849959419,0.0646893327472614,0.05629255063831806,0.12826569378376007,0.010253159269514317,0.009662776719778776,0.01736624166369438,0.007240455505345856,0.006547248922288418,0.013801096007227898
new,common20,801,1000,446,0.11069736433595884,0.1071182285391149,0.15890523436523618,0.05942434264397073,0.04987111873924732,0.13379117846488953,0.00962532720854297,0.009035995230078697,0.01468571089208126,0.006883599751549585,0.00624321261420846,0.012584226205945015
new,common20,1001,1200,447,0.10849016111316716,0.1052240598059836,0.1617406862122672,0.0604316997393899,0.05269536003470421,0.12585389614105225,0.009980598065618768,0.009347152896225452,0.016009556129574776,0.0070572587644777175,0.006262045819312334,0.014312677085399628
new,common20,1201,1400,443,0.10704246147230506,0.10319736741838001,0.15148556587241943,0.05603701651777492,0.05002252757549286,0.11353567242622375,0.010221412156248133,0.009725145995616913,0.015973135828971863,0.0068610533462252895,0.006283045746386051,0.01276758499443531
new,common20,1401,1600,443,0.10518483332564826,0.10132255547103428,0.15762635426861898,0.05917570546992611,0.05344001203775406,0.11805543303489685,0.009875736125738572,0.009248238056898117,0.015643000602722168,0.007037561519794654,0.006493196822702885,0.01179456990212202
new,common20,1601,1800,445,0.10335202523377121,0.10056893562986738,0.14863960161095574,0.05445728875864088,0.0458875373005867,0.12345851212739944,0.009263479550567905,0.008813872002065182,0.0143629414960742,0.006487839007383903,0.005638489034026861,0.012729421257972717
new,new_only4,1,200,88,0.12446738707578994,0.12033144295925186,0.16518771151701606,0.08455228200182319,0.07797996327280998,0.15779739618301392,0.013155436508399858,0.01156789343804121,0.02556878887116909,0.009681531916033815,0.00830516591668129,0.020322876051068306
new,new_only4,201,400,89,0.11542377255980568,0.10850952104443595,0.16584555378982,0.07143579961292529,0.06514406204223633,0.13639582693576813,0.010944439124399692,0.01025391835719347,0.018405262380838394,0.00762978760169798,0.0073967743664979935,0.012040960602462292
new,new_only4,401,600,90,0.11173344701134338,0.10949145009120304,0.1510601057892754,0.06755071950869428,0.0574121605604887,0.14816872775554657,0.009712252077750033,0.009500392246991396,0.014445275999605656,0.007069912247566713,0.00608079950325191,0.013148579746484756
new,new_only4,601,800,89,0.108022245088639,0.10593855664843604,0.1383974839534078,0.05995185689979725,0.052800171077251434,0.11724191159009933,0.009551402861566355,0.009122505784034729,0.014263786375522614,0.006783934741730938,0.0062487018294632435,0.011695020832121372
new,new_only4,801,1000,89,0.10501207241867237,0.10508294900258382,0.14692366832778567,0.05870887234262871,0.04960125312209129,0.13116945326328278,0.00928595999590634,0.009075486101210117,0.013421902433037758,0.006990599963981449,0.006025680806487799,0.013359958305954933
new,new_only4,1001,1200,88,0.10791226830414105,0.10403023198956535,0.14701305329799652,0.05668577319011092,0.05029314570128918,0.11428766697645187,0.00944008917378431,0.00915317889302969,0.013311579823493958,0.006665783616798845,0.006082069361582398,0.011843884363770485
new,new_only4,1201,1400,89,0.10489713464982692,0.10291736963249389,0.1373272147916612,0.05343202626060569,0.0486176535487175,0.1063217744231224,0.010494025235765436,0.00991351343691349,0.01491221971809864,0.006597453668148497,0.005962015595287085,0.01182363461703062
new,new_only4,1401,1600,89,0.10149518103842559,0.1018013787411508,0.13815220338957648,0.05993706526841675,0.04941944032907486,0.11705604940652847,0.009936370368879498,0.008892628364264965,0.01577143184840679,0.00704180094507638,0.006224446929991245,0.014287189580500126
new,new_only4,1601,1800,89,0.1036589883423349,0.10150560310908727,0.14348588387171426,0.056647738274396134,0.04785894230008125,0.1286962628364563,0.009014305543531193,0.008454028517007828,0.012549535371363163,0.006748135031588124,0.006309134885668755,0.011747144162654877
